State,Name,Percentage_of_Adults_Reporting_Poor_Health,Number_of_Poor_Physical_Health_Days_in_Past_30_,Percentage_of_Adult_Smokers,Percentage_of_Obese_Adults,Food_environment_index_0_to_10,Percentage_of_Adults_Reporting_No_Physical_Activity,Access_to_exercise_opportunities,Excessive_drinking_raw,Number_of_primary_care_physicians_per_100k,Ratio_of_population_to_primary_care_physicians,Percentage_of_Medicare_enrollees_that_had_an_annual_flu_vaccination,Children_in_poverty_raw_value,Income_inequality_raw_value,Air_pollution_particulate_matter_raw_value,Life_expectancy_raw_value,Life_expectancy_Black,Life_expectancy_Hispanic,Life_expectancy_White,Diabetes_prevalence_raw_value,HIV_prevalence_raw_value,Uninsured_adults_raw_value,Median_household_income_raw_value,Median_household_income_Black,Median_household_income_Hispanic,Median_household_income_White,Percentage_Non_Hispanic_Black_raw_value,Percentage_American_Indian_and_Alaska_Native_raw_value,Percentage_Asian_raw_value,Percentage_Native_Hawaiian_Other_Pacific_Islander_raw_value,Percentage_Hispanic_raw_value,Percentage_Non_Hispanic_White_raw_value,Percentage_Females_raw_value,Percentage_Males,Percentage_Rural_raw_value,Percentage_Urban
Louisiana,St. Helena,0.267730232,5.344544666,0.239171936,0.324,6.6,0.311,0.186735696,0.160774667,0.000192994,5181.5,0.35,0.353,6.511873171,8.8,74.07798709,73.5047898,,73.44005482,0.114,227.6,0.125870727,38699,26892,,61000,0.519391931,0.005262132,0.003995323,0.000682128,0.01880725,0.441921653,0.517930228,0.482069772,1,0
Louisiana,St. James,0.202073766,4.340387404,0.190069555,0.381,6.7,0.354,0.318387476,0.18648874,0.000234006,4273.4,0.38,0.25,6.24265928,9.5,76.08353378,73.22700785,,78.72229225,0.087,408.1,0.089332919,53903,40817,27750,63125,0.488425156,0.002519371,0.003897894,0.000190141,0.016732424,0.482530779,0.516993868,0.483006132,0.277033753,0.722966247
Louisiana,St. John the Baptist,0.215261066,4.464648236,0.205160155,0.433,6.4,0.32,0.824601516,0.175818188,0.000276237,3620.083333,0.35,0.289,5.049790356,9.2,74.57089037,73.53614597,83.7197675,75.1850277,0.1,480,0.111186671,50830,46239,51630,65495,0.5704196,0.004816599,0.011462579,0.001713598,0.063379956,0.339732308,0.512180437,0.487819563,0.134461284,0.865538716
Louisiana,St. Landry,0.24850129,5.105514865,0.243989693,0.337,6.2,0.319,0.518252902,0.183763115,0.000694636,1439.603448,0.45,0.466,6.479757757,9.5,72.90889241,70.3224644,103.1314083,74.48277604,0.14,408,0.131398062,36624,21476,39024,43387,0.412800251,0.004168479,0.004627616,0.000229568,0.022739355,0.544898748,0.517302209,0.482697791,0.481723112,0.518276888
Louisiana,St. Martin,0.198951506,4.573613309,0.215043765,0.369,7.8,0.325,0.599367331,0.198220951,0.000166141,6019,0.4,0.275,5.142669607,9.6,75.8146173,72.34352218,,77.06653412,0.151,242.2,0.127747084,46229,29098,48150,54804,0.297495384,0.007030828,0.009399303,0.000279741,0.029876354,0.645754462,0.508420209,0.491579791,0.495705522,0.504294478
Louisiana,St. Mary,0.239219419,4.948700141,0.215776595,0.38,6.2,0.366,0.891418115,0.184889834,0.000510074,1960.5,0.42,0.288,4.614861329,9,75.44031501,73.36879067,87.82812817,75.85113432,0.155,195.5,0.136415107,39764,29469,39279,47950,0.313657733,0.022863342,0.016635191,0.000843814,0.07140274,0.56171897,0.506871057,0.493128943,0.130393413,0.869606587
Louisiana,St. Tammany,0.162853333,4.08798896,0.177092806,0.302,8.4,0.223,0.813129974,0.210034899,0.000811464,1232.341346,0.45,0.17,4.797080345,9.3,78.55562381,76.06473578,86.32711342,78.53774011,0.112,208.2,0.113904158,67054,47856,52716,72091,0.12252868,0.005544126,0.01476884,0.000503659,0.057382289,0.783844935,0.514627428,0.485372572,0.232181056,0.767818944
Louisiana,Tangipahoa,0.221393607,4.571584174,0.220247562,0.387,6.7,0.337,0.678935069,0.198143214,0.000347178,2880.369565,0.39,0.243,5.572241053,8.9,74.64286954,72.43263863,90.50458858,75.03924948,0.104,366.6,0.131764616,47128,26174,37701,55237,0.300642113,0.004163646,0.007587253,0.000635386,0.043766866,0.631349186,0.515686553,0.484313447,0.409291725,0.590708275
Louisiana,Tensas,0.349553537,6.406760112,0.284773188,0.307,4.4,0.332,0.153084539,0.121684025,,,0.26,0.477,5.522983257,9.2,75.12029179,71.01199796,,80.07860834,0.194,,0.142857143,28962,18075,,36292,0.538995966,0.002017033,0.002017033,0,0.021963245,0.422904527,0.516360377,0.483639623,1,0
Louisiana,Terrebonne,0.20855002,4.600506495,0.222912356,0.416,7,0.311,0.807107098,0.199216734,0.000410399,2436.652174,0.44,0.226,5.518231228,8.7,75.61118338,72.63609296,90.1754055,75.89538488,0.114,229.7,0.153559448,51665,27558,39904,57821,0.189558732,0.060619162,0.01133119,0.001107899,0.050675098,0.666738725,0.507759793,0.492240207,0.206284642,0.793715358
Louisiana,Union,0.206681472,4.642961335,0.19369311,0.381,7.2,0.319,0.396989569,0.172153138,8.86E-05,11285.5,0.4,0.295,6.182158156,9.8,75.46846419,71.89558645,,76.45859768,0.163,162.9,0.129245804,43584,22304,23393,55564,0.248499776,0.005463502,0.002642185,0.000671742,0.045902374,0.691894313,0.504881326,0.495118674,0.829100832,0.170899168
Louisiana,Vermilion,0.20816313,4.704208987,0.204213277,0.388,8.1,0.336,0.59645856,0.198741384,0.000315951,3165.052632,0.4,0.252,4.976473502,9.4,76.76826004,70.72977943,90.41935193,77.67995262,0.098,171.4,0.139276784,48263,29894,52391,56055,0.141567775,0.004312218,0.021093097,0.000217282,0.036703995,0.78383754,0.515727896,0.484272104,0.546216314,0.453783686
Louisiana,Vernon,0.198847005,4.644145283,0.202926678,0.354,6.2,0.316,0.662685826,0.218679422,0.00031542,3170.375,0.39,0.236,4.295239912,9.5,74.85724807,74.06962762,87.58779052,74.22406356,0.13,146.5,0.107519541,47664,37368,45806,51031,0.138272616,0.016168645,0.020528039,0.00499386,0.093819075,0.700470733,0.466946377,0.533053623,0.498968166,0.501031834
Louisiana,Washington,0.261144532,5.180411583,0.232360684,0.428,7,0.368,0.393783921,0.161355631,0.000471769,2119.681818,0.41,0.367,5.750947975,9.1,72.45453,71.43993008,,72.32342212,0.23,475.6,0.132716049,36850,24329,43750,41676,0.301103431,0.004572582,0.002833713,0.000214675,0.02449444,0.654265596,0.505667425,0.494332575,0.666744403,0.333255597
Louisiana,Webster,0.234307108,5.129498287,0.22964288,0.329,5.9,0.31,0.509986167,0.161639795,0.000609477,1640.75,0.4,0.345,4.44212693,9.9,73.59081211,72.70867477,,74.07918803,0.144,219.5,0.121141765,35070,20154,25551,38728,0.34009485,0.005567297,0.004355895,0.000257745,0.019923707,0.617274086,0.513866694,0.486133306,0.530419589,0.469580411
Louisiana,West Baton Rouge,0.198371782,4.360122601,0.20022154,0.379,7.4,0.208,0.735791155,0.201790572,0.000152294,6566.25,0.49,0.2,5.215574951,9,78.06093467,76.3566506,,78.62321761,0.091,507.2,0.094026829,58205,48511,,78957,0.393763954,0.002383926,0.007151777,0.000567601,0.032164075,0.553070723,0.506300375,0.493699625,0.304607365,0.695392635
Louisiana,West Carroll,0.212157014,4.830642558,0.212779787,0.468,7.3,0.294,0.33281627,0.186709722,0.000273199,3660.333333,0.25,0.34,5.60074511,9.6,74.25312862,70.85299958,,74.47563383,0.248,150.3,0.137215529,39332,21176,50573,41461,0.156164633,0.008559461,0.003187033,0.000273174,0.039610271,0.784738663,0.491167365,0.508832635,1,0
Louisiana,West Feliciana,0.208482842,4.456674381,0.218983671,0.218,6.3,0.142,0.149952,0.19935303,0.000715215,1398.181818,0.46,0.193,6.417706807,9,77.86076654,77.50282035,,78.15240425,0.084,1088.4,0.08427762,60296,25214,63500,81789,0.442755498,0.001746442,0.002652005,0.000388098,0.015588616,0.529366106,0.346313066,0.653686934,1,0
Louisiana,Winn,0.244210452,5.135487795,0.229273381,0.373,6,0.265,0.802716646,0.173647355,0.000559011,1788.875,0.42,0.287,5.431402139,9.4,74.09630977,75.22566241,,72.85284495,0.221,251.3,0.119282636,40133,20434,,46269,0.30614122,0.00870242,0.002405547,0.000212254,0.021862176,0.646455356,0.464058299,0.535941701,0.648925749,0.351074251
Maine,Maine,0.149914624,3.993205697,0.173034283,0.299,8.1,0.216,0.699665979,0.202198528,0.00111385,897.7869624,0.45,0.148,4.6060923,7.35,78.68370602,81.97702191,95.18986623,78.63589402,0.102,133.9,0.11939058,55579,,,,0.015472159,0.00721531,0.012458122,0.000339957,0.017072573,0.931474353,0.510332456,0.489667544,0.613401779,0.386598221
Maine,Androscoggin,0.134488554,3.672870316,0.164492062,0.339,7.7,0.247,0.841804238,0.19862959,0.000817456,1223.306818,0.5,0.173,4.636959932,7.6,77.56442936,82.20015776,106.1540943,77.54692212,0.122,148.4,0.113815645,49935,26995,39219,52388,0.0418466,0.004309104,0.008766798,0.000390048,0.019818163,0.903862406,0.510526658,0.489473342,0.433668827,0.566331173
Maine,Aroostook,0.174927945,4.292068128,0.185927215,0.359,7.4,0.312,0.556337832,0.153115257,0.001064254,939.625,0.39,0.191,5.048694382,8.1,77.98312228,,,77.95611618,0.132,59,0.138314703,39450,,48750,40342,0.010355977,0.019326191,0.004678816,0.000387418,0.013216909,0.93948831,0.505505804,0.494494196,0.802657576,0.197342424
